title,publishedDate,dislikeCount,commentCount,viewCount,likeCount
Cage ,5/30/2016,443,2882,571393,1268
You ,5/30/2016,15196,55552,23891699,674580
5) ,5/30/2016,1783,28738,12002024,214561
T-Series ,5/30/2016,306,351,2113851,6191
ToysReview ,5/30/2016,6434,736,26556885,15105
VIDEO] ,5/30/2016,2217,5535,29679604,95078
FailArmy ,5/30/2016,1344,6042,4399399,79776
Video] ,5/30/2016,259,1308,287526,6448
Mars ,5/30/2016,334406,290303,1629457611,6275634
Kyla ,5/30/2016,6201,6929,6501252,60653
Jaani ,5/30/2016,326,796,2369027,7278
Video ,5/30/2016,27,86,60170,720
Video) ,5/30/2016,3212,7527,13795686,185576
Week ,5/30/2016,3318,13157,2860367,79768
(Video) ,5/30/2016,11070,39184,103421456,550054
Parte) ,5/30/2016,3727,7637,8069288,96148
Z ,5/30/2016,128193,97008,363918102,1345806
Zona ,5/30/2016,240001,118631,1426239456,3376165
Zurich ,5/30/2016,1116,1172,6237328,21847
VIDEO] ,5/30/2016,6530,12356,84022056,228900
Daya ,5/30/2016,8926,14265,37079385,377388
COLLAB)! ,5/30/2016,178,698,369953,7127
$ign ,5/30/2016,144492,204483,440785095,2323449
THEORIES! ,5/30/2016,3691,11565,6567803,110353
Karaoke ,5/30/2016,17177,77167,106769794,1415362
Glitches ,5/30/2016,258,1286,922267,11091
Weeknd ,5/30/2016,32434,30342,101846252,598689
Rally ,5/30/2016,370,1788,147420,7621
'Lemonade' ,5/30/2016,739,1018,2092022,34678
T-Series ,5/30/2016,799,2343,2780821,15171
Live ,5/30/2016,8455,20975,18283663,256384
Faded ,5/30/2016,49740,141935,348134683,2459101
#SnoopaVision ,5/30/2016,10777,17747,30653556,115419
4! ,5/30/2016,2410,6249,4378621,107169
#4 ,5/30/2016,108,593,179052,5776
Roberts) ,5/30/2016,5381,19442,26005857,254861
2014,5/30/2016,62587,172033,109125362,1208598
Studios) ,5/30/2016,28313,45578,129852841,951002
Love ,5/30/2016,79383,71350,537430162,1807169
Ink ,5/30/2016,188472,182413,872908187,3551305
111) ,5/30/2016,7344,67903,8411295,496492
T-Series ,5/30/2016,372,498,1635610,6878
Video) ,5/30/2016,10637,4622,15384128,121202
6! ,5/30/2016,494,3795,1611330,53272
One ,5/30/2016,69829,74332,654560043,2043320
Ginza ,5/30/2016,148632,101695,546328944,2091918
Kah-Lo ,5/30/2016,1023,583,3185060,17966
(Explicit) ,5/30/2016,47902,54206,273750769,1199157
Cascadia ,5/30/2016,1462,5811,15310383,130222
I ,5/30/2016,29300,51484,152376400,1229111
Me ,5/30/2016,111786,97094,868535455,3615547
ToysReview ,5/30/2016,266,78,746616,689
Sanders ,5/30/2016,11467,7627,1363539,14389
Games ,5/30/2016,416,3388,1208667,12132
Hills ,5/30/2016,168560,180547,821199524,3497950
Perfect ,5/30/2016,4927,20508,16408641,219859
